note_id,ticket_id,author_id,noted_at,note_text
87,55,2,2024-01-02 20:41:20,Remote session started
88,56,6,2024-01-08 11:53:46,Root cause documented
89,57,1,2024-01-10 17:35:31,Onsite visit scheduled
90,57,2,2024-01-10 22:46:31,Parts ordered
91,58,1,2024-01-17 20:01:48,Onsite visit scheduled
92,59,5,2024-01-08 17:20:59,Parts ordered
93,60,5,2024-01-01 20:40:38,Onsite visit scheduled
94,61,7,2024-01-26 14:10:06,Contacted user
95,61,4,2024-01-26 18:35:06,Contacted user
96,62,1,2024-01-02 18:25:21,Onsite visit scheduled
97,63,1,2024-01-29 13:59:49,Root cause documented
98,64,5,2024-01-07 01:09:53,Onsite visit scheduled
99,64,4,2024-01-06 17:04:53,Onsite visit scheduled
100,64,5,2024-01-07 02:05:53,Parts ordered
101,65,7,2024-01-04 00:11:31,Parts ordered
102,65,8,2024-01-04 03:58:31,Root cause documented
103,66,5,2024-01-22 14:29:48,Onsite visit scheduled
104,66,5,2024-01-22 14:32:48,Parts ordered
105,66,3,2024-01-23 18:12:48,Contacted user
106,67,6,2024-01-13 21:50:27,Waiting on vendor
107,67,6,2024-01-13 19:11:27,Waiting on vendor
108,68,3,2024-01-01 18:21:53,Parts ordered
109,69,1,2024-01-02 18:56:44,Remote session started
110,69,6,2024-01-03 06:09:44,Onsite visit scheduled
111,69,3,2024-01-03 01:06:44,Onsite visit scheduled
112,70,2,2024-01-11 19:54:21,Contacted user
113,71,4,2024-01-19 13:51:20,Contacted user
114,71,7,2024-01-20 03:25:20,Root cause documented
115,71,5,2024-01-20 17:32:20,Root cause documented
116,72,6,2024-01-12 17:58:56,Waiting on vendor
117,73,2,2024-01-23 22:07:54,Parts ordered
118,74,8,2024-01-04 23:04:04,Resolved and confirmed with user
119,74,3,2024-01-05 12:44:04,Contacted user
120,74,3,2024-01-05 15:55:04,Waiting on vendor
121,75,8,2024-01-20 15:57:20,Onsite visit scheduled
122,75,5,2024-01-21 07:15:20,Parts ordered
123,76,7,2024-01-08 20:31:41,Root cause documented
124,77,1,2024-01-11 10:25:09,Resolved and confirmed with user
125,78,7,2024-01-10 13:13:49,Root cause documented
126,79,4,2024-01-15 23:00:56,Contacted user
127,79,3,2024-01-15 17:00:56,Onsite visit scheduled
128,80,3,2024-01-22 09:37:46,Parts ordered
129,80,2,2024-01-22 15:11:46,Parts ordered
130,81,4,2024-01-15 21:25:14,Remote session started
131,82,2,2024-01-29 09:22:01,Parts ordered
132,83,4,2024-01-23 21:00:32,Contacted user
133,84,6,2024-01-07 14:32:14,Root cause documented
134,84,8,2024-01-07 20:43:14,Parts ordered
135,85,8,2024-01-03 10:56:05,Parts ordered
136,86,2,2024-01-12 15:00:25,Waiting on vendor
137,87,7,2024-01-07 20:39:30,Contacted user
138,87,8,2024-01-08 09:55:30,Resolved and confirmed with user
139,87,6,2024-01-08 16:11:30,Escalated to Network Ops
140,88,6,2024-01-01 17:18:10,Onsite visit scheduled
141,88,8,2024-01-01 21:43:10,Waiting on vendor
142,89,5,2024-01-22 16:13:28,Parts ordered
143,90,1,2024-01-12 16:09:41,Remote session started
144,91,2,2024-01-11 14:26:17,Root cause documented
145,92,2,2024-01-05 14:13:27,Escalated to Network Ops
146,93,7,2024-01-06 16:32:30,Waiting on vendor
147,94,7,2024-01-18 11:19:49,Parts ordered
148,94,1,2024-01-19 01:15:49,Parts ordered
149,94,8,2024-01-19 12:28:49,Onsite visit scheduled
150,95,6,2024-01-26 18:42:18,Contacted user
151,96,7,2024-01-22 22:01:16,Onsite visit scheduled
152,97,6,2024-01-18 19:22:40,Onsite visit scheduled
153,98,8,2024-01-29 01:15:54,Waiting on vendor
154,98,4,2024-01-29 00:36:54,Waiting on vendor
155,99,7,2024-01-15 00:27:20,Waiting on vendor
156,99,1,2024-01-15 06:09:20,Contacted user
157,100,6,2024-01-10 15:11:23,Onsite visit scheduled
158,101,3,2024-01-27 10:40:14,Onsite visit scheduled
159,102,5,2024-01-07 16:05:28,Resolved and confirmed with user
160,103,4,2024-01-26 20:05:22,Waiting on vendor
161,103,6,2024-01-27 00:06:22,Remote session started
162,103,7,2024-01-27 06:11:22,Parts ordered
163,104,8,2024-01-30 20:14:14,Parts ordered
164,105,3,2024-01-12 13:50:34,Parts ordered
165,106,5,2024-01-28 15:10:36,Onsite visit scheduled
166,107,6,2024-01-24 21:16:29,Waiting on vendor
167,108,7,2024-01-04 19:38:05,Contacted user
168,108,5,2024-01-04 17:45:05,Resolved and confirmed with user
169,109,3,2024-01-18 15:36:16,Onsite visit scheduled
170,109,4,2024-01-18 21:51:16,Contacted user
171,109,7,2024-01-19 04:31:16,Contacted user
172,110,6,2024-01-20 00:44:51,Parts ordered
173,111,2,2024-01-26 17:43:43,Onsite visit scheduled
174,112,7,2024-01-21 12:36:36,Waiting on vendor
175,112,3,2024-01-21 22:45:36,Remote session started
176,112,6,2024-01-21 21:42:36,Parts ordered
177,113,7,2024-01-04 03:56:36,Escalated to Network Ops
178,114,7,2024-01-11 03:13:57,Resolved and confirmed with user
179,115,4,2024-01-22 13:52:32,Onsite visit scheduled
180,115,7,2024-01-22 11:40:32,Contacted user
181,115,4,2024-01-23 09:55:32,Root cause documented
182,116,1,2024-01-04 17:11:32,Parts ordered
183,116,1,2024-01-04 22:45:32,Root cause documented
184,117,5,2024-01-07 17:33:44,Onsite visit scheduled
185,117,8,2024-01-07 22:39:44,Parts ordered
186,118,4,2024-01-09 12:26:12,Escalated to Network Ops
187,119,5,2024-01-24 21:26:41,Waiting on vendor
188,120,7,2024-01-28 23:04:54,Resolved and confirmed with user
189,121,5,2024-01-12 13:53:29,Root cause documented
190,121,1,2024-01-12 19:53:29,Escalated to Network Ops
191,122,4,2024-01-17 14:05:52,Contacted user
192,122,4,2024-01-18 06:00:52,Root cause documented
193,122,7,2024-01-17 18:00:52,Escalated to Network Ops
194,123,2,2024-01-18 19:36:59,Onsite visit scheduled
195,124,1,2024-01-22 23:56:42,Escalated to Network Ops
196,125,2,2024-01-08 14:13:44,Resolved and confirmed with user
197,125,8,2024-01-08 14:25:44,Contacted user
198,126,4,2024-01-02 21:25:15,Remote session started
199,126,6,2024-01-03 07:42:15,Escalated to Network Ops
200,127,4,2024-01-02 20:58:27,Onsite visit scheduled
201,128,5,2024-01-31 17:22:11,Waiting on vendor
202,129,7,2024-01-28 00:23:26,Waiting on vendor
203,129,7,2024-01-28 08:30:26,Parts ordered
204,130,2,2024-01-29 09:21:55,Escalated to Network Ops
205,131,3,2024-01-15 20:34:47,Contacted user
206,132,6,2024-01-08 20:33:28,Resolved and confirmed with user
207,133,2,2024-01-15 13:57:51,Escalated to Network Ops
208,134,4,2024-01-27 15:58:12,Root cause documented
209,134,1,2024-01-27 19:17:12,Root cause documented
210,135,5,2024-01-19 19:57:30,Onsite visit scheduled
211,136,3,2024-01-12 20:37:01,Remote session started
212,137,6,2024-01-26 16:55:26,Resolved and confirmed with user
213,137,6,2024-01-26 15:25:26,Contacted user
214,138,8,2024-01-31 17:52:18,Remote session started
215,139,8,2024-01-02 15:10:11,Root cause documented
216,140,7,2024-01-10 22:16:39,Parts ordered
217,140,2,2024-01-11 04:28:39,Resolved and confirmed with user
218,140,3,2024-01-11 09:51:39,Onsite visit scheduled
219,141,1,2024-01-14 19:10:26,Remote session started
220,142,1,2024-01-05 17:55:21,Waiting on vendor
221,142,8,2024-01-06 07:05:21,Resolved and confirmed with user
222,143,3,2024-01-05 17:14:24,Root cause documented
223,144,7,2024-01-14 18:13:09,Resolved and confirmed with user
224,144,2,2024-01-15 00:19:09,Resolved and confirmed with user
225,144,5,2024-01-15 06:44:09,Escalated to Network Ops
226,145,1,2024-01-16 15:14:20,Contacted user
227,146,5,2024-01-08 18:19:42,Escalated to Network Ops
228,147,5,2024-01-03 23:29:02,Escalated to Network Ops
229,147,8,2024-01-04 05:35:02,Waiting on vendor
230,148,1,2024-01-07 21:54:14,Resolved and confirmed with user
231,149,3,2024-01-27 15:32:05,Onsite visit scheduled
232,149,6,2024-01-27 20:55:05,Resolved and confirmed with user
233,150,1,2024-01-18 18:54:55,Remote session started
234,151,8,2024-01-25 09:55:18,Resolved and confirmed with user
235,151,3,2024-01-25 14:59:18,Resolved and confirmed with user
236,152,2,2024-01-09 19:38:41,Remote session started
237,153,5,2024-01-27 23:57:59,Contacted user
238,153,5,2024-01-27 20:09:59,Resolved and confirmed with user
239,153,4,2024-01-28 11:04:59,Waiting on vendor
240,154,6,2024-01-01 16:51:25,Remote session started
241,154,3,2024-01-01 16:52:25,Onsite visit scheduled
242,155,7,2024-01-31 22:58:51,Root cause documented
243,156,2,2024-01-11 10:20:24,Onsite visit scheduled
244,157,6,2024-01-31 07:46:42,Contacted user
245,157,4,2024-01-31 09:23:42,Escalated to Network Ops
246,158,4,2024-01-30 23:02:18,Contacted user
247,159,2,2024-01-05 19:34:33,Escalated to Network Ops
248,159,4,2024-01-06 04:38:33,Remote session started
249,160,1,2024-01-05 14:56:13,Remote session started
250,161,5,2024-01-18 15:10:48,Onsite visit scheduled
251,162,5,2024-01-15 12:04:51,Root cause documented
252,162,1,2024-01-15 23:27:51,Contacted user
253,163,2,2024-01-19 15:20:56,Escalated to Network Ops
254,163,5,2024-01-19 21:02:56,Contacted user
255,164,6,2024-01-31 11:46:18,Remote session started
256,165,4,2024-01-27 23:35:01,Contacted user
257,166,3,2024-01-13 00:21:05,Contacted user
258,166,3,2024-01-12 23:43:05,Escalated to Network Ops
259,167,6,2024-01-24 10:24:29,Root cause documented
260,167,6,2024-01-25 02:15:29,Escalated to Network Ops
261,168,7,2024-01-21 19:12:22,Parts ordered
262,169,6,2024-01-26 17:30:31,Contacted user
263,170,5,2024-01-05 18:16:25,Contacted user
264,171,2,2024-01-23 20:02:48,Parts ordered
265,172,7,2024-01-11 17:42:44,Resolved and confirmed with user
266,173,7,2024-01-27 20:23:16,Resolved and confirmed with user
267,174,3,2024-01-19 02:02:08,Remote session started
268,175,2,2024-01-27 19:06:40,Resolved and confirmed with user
269,176,3,2024-01-18 21:38:03,Parts ordered
270,176,4,2024-01-19 07:24:03,Parts ordered
271,176,3,2024-01-18 22:44:03,Resolved and confirmed with user
272,177,4,2024-01-24 19:23:13,Contacted user
273,177,6,2024-01-24 19:54:13,Root cause documented
274,178,4,2024-01-03 12:38:06,Root cause documented
275,178,1,2024-01-03 22:01:06,Remote session started
276,179,4,2024-01-21 21:38:56,Contacted user
277,179,5,2024-01-22 05:40:56,Remote session started
278,180,2,2024-01-03 15:46:20,Remote session started
279,181,8,2024-01-13 15:14:54,Parts ordered
280,182,1,2024-01-07 23:58:59,Parts ordered
281,182,7,2024-01-07 22:17:59,Escalated to Network Ops
282,183,4,2024-01-03 17:15:32,Parts ordered
283,183,8,2024-01-04 04:33:32,Parts ordered
284,184,2,2024-01-21 11:05:57,Parts ordered
285,185,8,2024-01-02 14:36:20,Onsite visit scheduled
286,186,8,2024-01-19 13:34:34,Resolved and confirmed with user
287,187,6,2024-01-29 12:52:23,Parts ordered
288,188,3,2024-01-27 22:47:05,Remote session started
289,188,3,2024-01-28 01:00:05,Resolved and confirmed with user
290,189,7,2024-01-28 20:06:41,Escalated to Network Ops
291,190,3,2024-01-16 17:36:53,Escalated to Network Ops
292,190,5,2024-01-16 14:44:53,Onsite visit scheduled
293,191,3,2024-01-25 20:22:39,Parts ordered
294,191,4,2024-01-25 22:52:39,Parts ordered
295,192,6,2024-01-07 23:30:22,Waiting on vendor
296,192,5,2024-01-07 21:50:22,Escalated to Network Ops
297,193,1,2024-01-28 00:15:43,Resolved and confirmed with user
298,193,8,2024-01-28 10:45:43,Escalated to Network Ops
299,194,3,2024-01-16 15:31:30,Root cause documented
300,194,7,2024-01-16 15:31:30,Resolved and confirmed with user
301,195,8,2024-01-06 22:17:16,Escalated to Network Ops
302,195,7,2024-01-06 16:31:16,Onsite visit scheduled
303,196,6,2024-01-06 17:41:27,Contacted user
304,197,7,2024-01-11 17:28:39,Remote session started
305,197,5,2024-01-12 01:54:39,Onsite visit scheduled
306,198,7,2024-01-24 20:27:13,Contacted user
307,199,1,2024-01-27 13:11:33,Root cause documented
308,200,3,2024-01-06 18:40:15,Root cause documented
309,200,2,2024-01-06 19:05:15,Onsite visit scheduled
310,200,2,2024-01-07 12:22:15,Remote session started
311,201,6,2024-01-15 23:02:45,Waiting on vendor
312,201,3,2024-01-15 22:44:45,Contacted user
313,201,5,2024-01-15 17:54:45,Root cause documented
314,202,6,2024-01-09 02:25:57,Resolved and confirmed with user
315,203,5,2024-01-06 20:49:32,Root cause documented
316,204,5,2024-01-11 22:20:55,Resolved and confirmed with user
317,204,5,2024-01-12 02:36:55,Waiting on vendor
318,205,5,2024-01-16 13:15:56,Waiting on vendor
319,206,1,2024-01-06 21:43:02,Resolved and confirmed with user
320,207,2,2024-01-22 15:49:58,Root cause documented
321,208,8,2024-01-05 11:26:47,Escalated to Network Ops
322,209,4,2024-01-09 12:02:34,Root cause documented
323,210,3,2024-01-27 15:27:06,Waiting on vendor
324,211,2,2024-01-05 18:28:26,Resolved and confirmed with user
325,212,8,2024-01-24 21:17:34,Parts ordered
326,213,2,2024-01-29 17:46:23,Onsite visit scheduled
327,214,2,2024-01-06 15:03:33,Resolved and confirmed with user
328,214,2,2024-01-06 19:11:33,Escalated to Network Ops
329,214,6,2024-01-07 15:37:33,Escalated to Network Ops
330,215,5,2024-01-16 00:08:22,Parts ordered
331,216,6,2024-01-28 15:41:00,Contacted user
332,217,8,2024-01-01 12:40:23,Root cause documented
333,218,7,2024-01-09 13:14:43,Contacted user
334,219,5,2024-01-28 00:11:43,Remote session started
335,220,3,2024-01-25 15:35:22,Remote session started
336,220,7,2024-01-26 06:02:22,Onsite visit scheduled
337,221,2,2024-01-26 20:30:51,Escalated to Network Ops
338,222,1,2024-01-15 23:18:14,Contacted user
339,223,8,2024-01-06 16:13:33,Resolved and confirmed with user
340,223,1,2024-01-06 17:48:33,Escalated to Network Ops
341,224,4,2024-01-15 21:11:45,Remote session started
342,224,6,2024-01-15 20:49:45,Waiting on vendor
343,225,7,2024-01-30 19:13:19,Onsite visit scheduled
344,226,6,2024-01-08 00:34:36,Escalated to Network Ops
345,227,4,2024-01-18 16:38:52,Onsite visit scheduled
346,228,8,2024-01-18 19:44:53,Onsite visit scheduled
347,228,3,2024-01-18 15:12:53,Escalated to Network Ops
348,229,4,2024-01-07 17:11:43,Contacted user
349,229,2,2024-01-08 10:33:43,Parts ordered
350,230,4,2024-01-24 14:09:44,Parts ordered
351,231,6,2024-01-20 19:08:39,Parts ordered
352,232,2,2024-01-18 19:05:38,Parts ordered
353,232,3,2024-01-19 07:03:38,Onsite visit scheduled
354,233,7,2024-01-24 18:06:30,Resolved and confirmed with user
355,234,1,2024-01-08 11:26:26,Parts ordered
356,234,3,2024-01-08 19:33:26,Waiting on vendor
357,234,4,2024-01-08 17:29:26,Remote session started
358,235,3,2024-01-09 14:17:19,Root cause documented
359,235,6,2024-01-09 23:58:19,Onsite visit scheduled
360,236,7,2024-01-17 22:38:35,Waiting on vendor
361,237,5,2024-01-30 22:08:39,Contacted user
362,237,3,2024-01-31 02:04:39,Remote session started
363,238,5,2024-01-30 10:18:25,Onsite visit scheduled
364,238,6,2024-01-30 19:56:25,Onsite visit scheduled
365,239,2,2024-01-07 22:33:52,Contacted user
366,239,8,2024-01-08 06:29:52,Remote session started
367,240,2,2024-01-21 15:05:48,Root cause documented
368,240,1,2024-01-22 07:11:48,Parts ordered
369,241,4,2024-01-31 15:48:07,Contacted user
370,242,6,2024-01-28 21:01:42,Waiting on vendor
371,242,1,2024-01-28 12:43:42,Root cause documented
372,243,4,2024-01-17 15:23:14,Onsite visit scheduled
373,244,5,2024-01-26 07:34:20,Remote session started
374,244,4,2024-01-26 16:24:20,Resolved and confirmed with user
375,245,6,2024-01-16 23:21:56,Contacted user
376,246,4,2024-01-13 12:25:22,Root cause documented
377,247,1,2024-01-19 12:49:39,Root cause documented
378,248,1,2024-01-19 00:06:41,Remote session started
379,249,5,2024-01-04 20:34:32,Parts ordered
380,249,3,2024-01-05 03:12:32,Escalated to Network Ops
381,250,3,2024-01-31 23:43:30,Waiting on vendor
382,251,5,2024-01-13 16:34:38,Waiting on vendor
383,252,5,2024-01-12 10:23:57,Resolved and confirmed with user
384,252,6,2024-01-12 22:45:57,Contacted user
385,253,8,2024-01-01 12:56:36,Escalated to Network Ops
386,253,5,2024-01-01 13:34:36,Remote session started
387,253,5,2024-01-01 10:07:36,Root cause documented
388,254,7,2024-01-10 12:59:41,Root cause documented
389,255,2,2024-01-18 01:54:04,Remote session started
390,256,1,2024-01-13 11:19:18,Onsite visit scheduled
391,256,1,2024-01-13 17:42:18,Parts ordered
392,257,4,2024-01-21 14:43:53,Resolved and confirmed with user
393,258,8,2024-01-02 18:12:02,Onsite visit scheduled
394,259,2,2024-01-26 23:04:09,Contacted user
395,260,6,2024-01-13 19:19:57,Onsite visit scheduled
396,261,3,2024-01-01 13:37:12,Resolved and confirmed with user
397,261,8,2024-01-01 09:50:12,Waiting on vendor
398,262,2,2024-01-14 22:53:11,Escalated to Network Ops
399,263,7,2024-01-14 16:20:47,Waiting on vendor
400,264,7,2024-01-26 03:48:00,Root cause documented
401,264,2,2024-01-25 18:46:00,Escalated to Network Ops
402,265,5,2024-01-30 23:37:34,Root cause documented
403,266,1,2024-01-08 22:43:22,Resolved and confirmed with user
404,267,7,2024-01-28 09:30:10,Onsite visit scheduled
405,268,2,2024-01-27 01:57:36,Parts ordered
406,268,3,2024-01-27 06:46:36,Waiting on vendor
407,269,8,2024-01-29 01:10:30,Remote session started
408,269,3,2024-01-29 08:45:30,Resolved and confirmed with user
409,269,2,2024-01-28 20:19:30,Remote session started
410,270,1,2024-01-05 00:53:28,Escalated to Network Ops
411,270,3,2024-01-04 22:34:28,Waiting on vendor
412,271,1,2024-01-29 13:49:45,Onsite visit scheduled
413,272,8,2024-01-04 20:46:26,Parts ordered
414,273,3,2024-01-12 16:02:29,Contacted user
415,274,8,2024-01-17 15:57:40,Waiting on vendor
416,275,4,2024-01-20 19:24:22,Resolved and confirmed with user
417,276,2,2024-01-01 20:07:04,Contacted user
418,277,8,2024-01-15 20:17:47,Root cause documented
419,277,6,2024-01-16 07:50:47,Remote session started
420,278,6,2024-01-19 10:05:32,Remote session started
421,279,8,2024-01-19 20:25:38,Remote session started
422,279,3,2024-01-19 23:48:38,Parts ordered
423,280,2,2024-01-25 13:59:18,Root cause documented
424,281,5,2024-01-04 21:10:57,Remote session started
425,282,6,2024-01-11 08:29:51,Waiting on vendor
426,283,8,2024-01-18 14:10:49,Onsite visit scheduled
427,283,6,2024-01-18 09:31:49,Remote session started
428,284,4,2024-01-27 16:19:52,Waiting on vendor
429,284,5,2024-01-28 04:02:52,Parts ordered
430,285,6,2024-01-13 15:47:04,Resolved and confirmed with user
431,285,3,2024-01-14 02:47:04,Onsite visit scheduled
432,286,8,2024-01-16 10:52:41,Contacted user
433,287,2,2024-01-01 21:54:46,Waiting on vendor
434,288,6,2024-01-26 22:30:13,Parts ordered
435,289,7,2024-01-19 22:25:56,Contacted user
436,290,2,2024-01-23 19:36:41,Remote session started
437,291,2,2024-01-20 01:01:24,Root cause documented
438,291,7,2024-01-20 08:34:24,Escalated to Network Ops
439,291,5,2024-01-20 21:36:24,Escalated to Network Ops
440,292,7,2024-01-13 18:27:53,Onsite visit scheduled
441,292,2,2024-01-14 02:19:53,Escalated to Network Ops
442,293,5,2024-01-16 20:28:28,Onsite visit scheduled
443,293,8,2024-01-17 10:38:28,Resolved and confirmed with user
444,294,1,2024-01-17 18:57:05,Contacted user
445,294,7,2024-01-18 00:43:05,Waiting on vendor
446,295,6,2024-01-26 17:52:11,Resolved and confirmed with user
447,295,5,2024-01-26 22:15:11,Onsite visit scheduled
448,296,5,2024-01-07 08:32:39,Escalated to Network Ops
449,296,3,2024-01-07 23:06:39,Waiting on vendor
450,297,1,2024-01-18 21:06:53,Onsite visit scheduled
451,298,1,2024-01-22 19:47:53,Contacted user
452,298,2,2024-01-23 04:12:53,Resolved and confirmed with user
453,298,4,2024-01-22 18:35:53,Onsite visit scheduled
454,299,6,2024-01-29 18:29:54,Root cause documented
455,299,3,2024-01-29 22:22:54,Escalated to Network Ops
456,299,2,2024-01-30 05:06:54,Parts ordered
457,300,8,2024-01-30 01:14:39,Contacted user
458,301,3,2024-01-27 15:02:05,Waiting on vendor
459,302,5,2024-01-26 19:29:43,Waiting on vendor
460,303,7,2024-01-20 18:53:36,Parts ordered
461,304,8,2024-01-28 21:36:12,Contacted user
462,304,7,2024-01-28 15:54:12,Parts ordered
463,305,3,2024-01-07 12:54:29,Waiting on vendor
464,305,4,2024-01-08 05:04:29,Resolved and confirmed with user
465,306,6,2024-01-08 16:11:02,Resolved and confirmed with user
466,306,4,2024-01-08 19:10:02,Onsite visit scheduled
467,307,3,2024-01-10 11:59:49,Escalated to Network Ops
468,308,4,2024-01-21 19:32:46,Onsite visit scheduled
469,308,5,2024-01-22 00:24:46,Root cause documented
470,309,3,2024-01-24 00:58:45,Root cause documented
471,310,8,2024-01-14 08:30:43,Root cause documented
472,311,6,2024-01-21 00:11:58,Root cause documented
473,312,4,2024-01-07 17:26:37,Resolved and confirmed with user
474,313,8,2024-01-09 14:09:41,Resolved and confirmed with user
475,314,4,2024-01-02 19:54:32,Remote session started
476,315,4,2024-01-15 13:58:43,Remote session started
477,316,1,2024-01-20 16:11:10,Remote session started
478,316,5,2024-01-21 00:18:10,Root cause documented
479,317,4,2024-01-08 00:05:56,Root cause documented
480,317,7,2024-01-07 22:46:56,Onsite visit scheduled
481,318,4,2024-01-21 19:45:51,Remote session started
482,318,5,2024-01-21 23:01:51,Parts ordered
483,319,3,2024-01-31 09:44:35,Resolved and confirmed with user
484,320,7,2024-01-10 13:07:30,Onsite visit scheduled
485,321,5,2024-01-26 17:34:24,Resolved and confirmed with user
486,322,3,2024-01-15 18:03:10,Root cause documented
487,322,7,2024-01-16 08:14:10,Remote session started
488,323,8,2024-01-05 17:48:38,Contacted user
489,324,1,2024-01-19 21:09:44,Escalated to Network Ops
490,325,4,2024-01-26 19:35:20,Parts ordered
491,326,4,2024-01-29 14:30:23,Parts ordered
492,327,2,2024-01-26 15:00:32,Escalated to Network Ops
493,328,8,2024-01-10 20:00:07,Waiting on vendor
494,329,7,2024-01-07 22:41:37,Waiting on vendor
495,329,2,2024-01-08 02:54:37,Onsite visit scheduled
496,330,3,2024-01-01 19:46:42,Root cause documented
497,330,5,2024-01-02 09:00:42,Escalated to Network Ops
498,331,1,2024-01-13 18:42:18,Onsite visit scheduled
499,331,7,2024-01-13 21:02:18,Remote session started
500,331,7,2024-01-14 02:30:18,Resolved and confirmed with user
501,332,1,2024-01-12 18:57:46,Parts ordered
502,333,5,2024-01-03 16:27:52,Parts ordered
503,333,7,2024-01-03 11:09:52,Root cause documented
504,333,4,2024-01-04 11:08:52,Onsite visit scheduled
505,334,2,2024-01-14 00:15:02,Root cause documented
