audit_id,changed_at,db_user,table_name,operation,row_summary
98,2026-08-27 05:11:21,lortega,students,INSERT,student_id=128
99,2026-08-27 05:45:56,academy_app,grades,UPDATE,student_id=230
100,2026-08-27 17:35:12,lortega,grades,UPDATE,student_id=58
101,2026-08-27 20:47:07,kbell,enrollments,INSERT,student_id=402
102,2026-08-27 23:16:34,kbell,students,INSERT,student_id=562
103,2026-08-27 23:24:20,lortega,grades,INSERT,student_id=578
104,2026-08-28 05:36:56,academy_app,grades,INSERT,student_id=298
105,2026-08-28 09:11:21,academy_app,grades,UPDATE,student_id=280
106,2026-08-28 12:33:39,kbell,grades,UPDATE,student_id=154
107,2026-08-28 14:17:01,academy_app,students,UPDATE,student_id=674
108,2026-08-28 16:03:35,kbell,students,UPDATE,student_id=203
109,2026-08-28 21:40:38,kbell,students,UPDATE,student_id=416
110,2026-08-29 06:18:19,lortega,students,UPDATE,student_id=475
111,2026-08-29 09:34:24,kbell,grades,INSERT,student_id=712
112,2026-08-29 17:27:21,lortega,grades,INSERT,student_id=64
113,2026-08-30 05:54:36,kbell,enrollments,INSERT,student_id=726
114,2026-08-30 07:10:57,lortega,enrollments,UPDATE,student_id=289
115,2026-08-30 10:43:58,lortega,grades,INSERT,student_id=101
116,2026-08-30 13:25:14,kbell,grades,UPDATE,student_id=35
117,2026-08-30 15:00:00,dwhitfield,pg_authid,GRANT,GRANT SELECT ON ALL TABLES IN SCHEMA public TO academy_reports
118,2026-08-30 18:04:21,lortega,enrollments,INSERT,student_id=215
119,2026-08-30 20:19:04,academy_app,enrollments,UPDATE,student_id=257
120,2026-08-30 23:30:44,lortega,grades,UPDATE,student_id=48
121,2026-08-31 02:21:08,academy_app,grades,INSERT,student_id=200
122,2026-08-31 03:25:11,academy_app,enrollments,INSERT,student_id=548
123,2026-08-31 04:08:29,kbell,grades,INSERT,student_id=262
124,2026-08-31 07:12:02,academy_app,students,UPDATE,student_id=600
125,2026-08-31 07:52:55,lortega,enrollments,INSERT,student_id=632
126,2026-08-31 11:27:14,lortega,grades,UPDATE,student_id=289
127,2026-08-31 15:08:30,academy_app,grades,INSERT,student_id=34
128,2026-08-31 18:30:44,academy_app,grades,UPDATE,student_id=658
129,2026-08-31 18:37:50,kbell,enrollments,UPDATE,student_id=737
130,2026-08-31 19:08:47,kbell,grades,INSERT,student_id=173
131,2026-08-31 19:50:45,kbell,students,INSERT,student_id=86
132,2026-09-01 01:31:12,lortega,enrollments,INSERT,student_id=115
133,2026-09-01 02:49:16,academy_app,students,UPDATE,student_id=415
134,2026-09-01 04:06:44,academy_app,grades,INSERT,student_id=384
135,2026-09-01 05:46:13,lortega,grades,UPDATE,student_id=421
136,2026-09-01 06:57:11,kbell,enrollments,INSERT,student_id=655
137,2026-09-01 08:36:59,kbell,students,UPDATE,student_id=779
138,2026-09-01 13:01:49,lortega,grades,UPDATE,student_id=700
139,2026-09-01 15:18:33,kbell,students,INSERT,student_id=577
140,2026-09-01 16:50:29,academy_app,students,INSERT,student_id=540
141,2026-09-01 17:42:01,kbell,enrollments,UPDATE,student_id=333
