enrollment_id,term_grade,comments
323,B,Strong effort
324,B,Missing assignments
325,C,Missing assignments
326,D,Missing assignments
327,C,
328,A,
329,B,
330,B,Strong effort
331,B,
332,A,Strong effort
333,B,Missing assignments
334,D,
335,F,
336,C,Strong effort
337,A,
338,A,Improved this term
339,C,
340,C,Improved this term
341,B,Missing assignments
342,C,Improved this term
343,B,Missing assignments
344,A,
345,A,Improved this term
346,C,Missing assignments
347,A,
348,C,Strong effort
349,A,Missing assignments
350,C,
351,A,Missing assignments
352,C,
353,A,Strong effort
354,D,Improved this term
355,D,
356,F,
357,B,Missing assignments
358,B,
359,F,
360,C,
361,A,
362,C,Improved this term
363,A,Strong effort
364,C,
365,A,
366,C,Strong effort
367,B,Improved this term
368,A,
369,F,Strong effort
370,A,Strong effort
371,B,
372,C,Strong effort
373,A,Improved this term
374,C,Strong effort
375,C,
376,B,Strong effort
377,B,
378,C,Improved this term
379,A,Improved this term
380,A,
381,B,
382,A,Strong effort
383,D,
384,B,
385,B,Missing assignments
386,A,Missing assignments
387,C,Improved this term
388,D,Improved this term
389,F,
390,B,Missing assignments
391,C,Strong effort
392,B,
393,C,Missing assignments
394,A,Strong effort
395,B,
396,C,Strong effort
397,A,
398,C,Improved this term
399,B,Improved this term
400,A,
401,C,
402,B,
403,A,
404,C,
405,C,Missing assignments
406,B,
407,C,Strong effort
408,C,Strong effort
409,C,
410,B,
411,C,Improved this term
412,B,Improved this term
413,A,
414,B,Strong effort
415,A,Strong effort
416,D,Improved this term
417,B,Missing assignments
418,A,
419,C,
420,B,
421,B,Strong effort
422,C,Missing assignments
423,D,Missing assignments
424,B,Improved this term
425,A,Strong effort
426,C,Improved this term
427,B,
428,A,Missing assignments
429,C,Improved this term
430,A,
431,A,Strong effort
432,D,Missing assignments
433,C,Improved this term
434,B,Improved this term
435,B,Improved this term
436,C,Improved this term
437,B,
438,A,
439,A,Strong effort
440,A,
441,B,Missing assignments
442,A,
443,B,
444,A,
445,B,
446,C,
447,A,
448,B,Missing assignments
449,D,
450,A,Improved this term
451,C,Missing assignments
452,F,Missing assignments
453,B,Improved this term
454,B,Improved this term
455,B,Strong effort
456,A,Improved this term
457,B,Missing assignments
458,B,
459,B,
460,B,Strong effort
461,C,
462,A,Improved this term
463,B,Missing assignments
464,A,Strong effort
465,B,
466,B,
467,D,Improved this term
468,B,
469,B,Missing assignments
470,A,Missing assignments
471,B,Missing assignments
472,B,Missing assignments
473,B,
474,A,
475,B,
476,B,Strong effort
477,B,Strong effort
478,B,Missing assignments
479,B,
480,C,Missing assignments
481,D,
482,C,Improved this term
483,A,Missing assignments
484,B,
485,A,Missing assignments
486,D,
487,D,Missing assignments
488,F,
489,A,Strong effort
490,B,Strong effort
491,B,Missing assignments
492,C,Improved this term
493,D,Missing assignments
494,A,
495,A,
496,A,
497,A,Strong effort
498,C,
499,A,
500,B,Improved this term
501,B,Improved this term
502,F,Strong effort
503,A,Missing assignments
504,C,Missing assignments
505,A,
506,A,Missing assignments
507,C,Improved this term
508,D,
509,A,Improved this term
510,B,
511,D,
512,B,Strong effort
513,C,
514,B,
515,C,
516,C,Strong effort
517,D,Strong effort
518,B,Strong effort
519,B,Strong effort
520,B,
521,A,Strong effort
522,A,Strong effort
523,B,
524,C,
525,B,Missing assignments
526,D,Missing assignments
527,A,Missing assignments
528,B,
529,B,Missing assignments
530,A,Missing assignments
531,B,Improved this term
532,A,
533,B,Improved this term
534,D,Missing assignments
535,C,
536,C,
537,A,Strong effort
538,C,Missing assignments
539,B,
540,B,
541,D,
542,B,Strong effort
543,A,
544,A,Improved this term
545,F,Improved this term
546,B,
547,D,Strong effort
548,B,Improved this term
549,A,Improved this term
550,B,
551,B,
552,A,
553,C,Missing assignments
554,A,Improved this term
555,B,
556,A,Improved this term
557,B,Improved this term
558,A,Improved this term
559,A,
560,B,
561,C,Missing assignments
562,B,Strong effort
563,B,
564,D,
565,A,
566,A,
567,D,
568,D,
569,A,Missing assignments
570,B,Strong effort
571,A,Improved this term
572,D,Missing assignments
573,C,Improved this term
574,F,Missing assignments
575,C,
576,A,Improved this term
577,B,Strong effort
578,B,Strong effort
579,B,
580,A,
581,B,Improved this term
582,C,Missing assignments
583,C,Strong effort
584,D,
585,B,
586,B,Missing assignments
587,B,Missing assignments
588,B,Strong effort
589,B,
590,C,Improved this term
591,B,
592,A,
593,D,Strong effort
594,B,Strong effort
595,A,Strong effort
596,A,Strong effort
597,D,Strong effort
598,B,Strong effort
599,D,Missing assignments
600,B,Improved this term
601,B,Missing assignments
602,D,
603,A,
604,B,Strong effort
605,C,
606,C,Strong effort
607,C,Missing assignments
608,F,Strong effort
609,C,Missing assignments
610,B,Improved this term
611,B,Missing assignments
612,B,
613,A,Improved this term
614,A,
615,B,
616,C,Improved this term
617,A,
618,D,Improved this term
619,B,Missing assignments
620,B,Missing assignments
621,B,
622,B,Strong effort
623,C,
624,A,
625,A,
626,A,Strong effort
627,C,
628,B,Strong effort
629,C,Improved this term
630,C,Improved this term
631,B,Missing assignments
632,C,
633,B,
634,F,
635,A,Strong effort
636,F,Improved this term
637,C,Strong effort
638,C,
639,B,
640,A,Missing assignments
641,A,
642,B,
643,C,
644,B,Improved this term
645,C,
646,B,Missing assignments
647,A,Improved this term
648,C,Missing assignments
649,D,Strong effort
650,B,
651,B,Improved this term
652,A,
653,B,Improved this term
654,A,
655,B,Strong effort
656,B,Missing assignments
657,A,Missing assignments
658,A,Missing assignments
659,B,
660,A,Strong effort
661,B,Strong effort
662,D,Strong effort
663,C,Strong effort
664,A,Improved this term
665,A,Improved this term
666,B,Missing assignments
667,A,Missing assignments
668,B,
669,C,Improved this term
670,C,Missing assignments
671,B,
672,B,Improved this term
673,A,Missing assignments
674,C,Improved this term
675,B,
676,D,Missing assignments
677,C,Strong effort
678,C,Missing assignments
679,D,
680,B,Strong effort
681,A,Improved this term
682,A,
683,B,Strong effort
684,C,Improved this term
685,B,Strong effort
686,C,
687,B,Improved this term
688,B,
689,A,
690,B,Improved this term
691,B,
692,A,
693,C,Improved this term
694,B,
695,C,Missing assignments
696,C,Improved this term
697,A,
698,B,
699,A,
700,B,
701,D,Improved this term
702,A,Improved this term
703,A,Missing assignments
704,B,Missing assignments
705,B,Missing assignments
706,D,
707,A,
708,A,
709,B,Improved this term
710,B,
711,C,Improved this term
712,B,
713,A,Missing assignments
714,D,
715,A,Strong effort
716,C,
717,A,Missing assignments
718,B,Improved this term
719,B,
720,C,Strong effort
721,A,Improved this term
722,A,Missing assignments
723,A,Strong effort
724,B,Improved this term
725,C,Improved this term
726,C,
727,B,Missing assignments
728,B,
729,C,Improved this term
730,A,Missing assignments
731,B,
732,A,Strong effort
733,D,
734,A,
735,B,Strong effort
736,C,
737,B,Missing assignments
738,A,Improved this term
739,A,
740,A,Missing assignments
741,D,Strong effort
742,A,
743,A,Missing assignments
744,D,
745,B,Improved this term
746,C,
747,C,
748,B,Strong effort
749,A,Strong effort
750,B,
751,D,
752,A,Improved this term
753,C,
754,B,Strong effort
755,A,Strong effort
756,B,
757,D,Strong effort
758,B,
759,B,Missing assignments
760,D,Missing assignments
761,A,
762,A,
763,A,Strong effort
764,D,Missing assignments
765,A,
766,B,
767,D,Improved this term
768,A,Strong effort
769,D,
770,A,Missing assignments
771,C,Missing assignments
772,D,Improved this term
773,B,Improved this term
774,C,
775,B,
776,A,Strong effort
777,B,Improved this term
778,B,
779,A,
780,A,
781,C,Strong effort
782,B,Missing assignments
783,A,Missing assignments
784,A,Strong effort
785,B,
786,A,Strong effort
787,A,Improved this term
788,A,Strong effort
789,B,
790,D,Improved this term
791,C,Improved this term
792,B,
793,A,
794,B,
795,A,Strong effort
796,C,Improved this term
797,B,
798,B,
799,A,
800,C,
801,C,Strong effort
802,A,Improved this term
803,D,Missing assignments
804,C,Improved this term
805,A,
806,C,Missing assignments
807,A,
808,B,
809,B,Missing assignments
810,D,
811,B,
812,B,Improved this term
813,A,
814,A,Strong effort
815,A,Improved this term
816,C,Improved this term
817,B,Strong effort
818,A,
819,A,Strong effort
820,A,
821,A,
822,A,Strong effort
823,F,
824,B,
825,B,Improved this term
826,B,Missing assignments
827,D,
828,B,Improved this term
829,C,Missing assignments
830,B,Strong effort
831,D,Improved this term
832,B,Missing assignments
833,D,
834,A,
835,A,Strong effort
836,A,Strong effort
837,C,Missing assignments
838,F,
839,B,
840,F,Improved this term
841,B,
842,B,Missing assignments
843,B,Improved this term
844,A,Missing assignments
845,B,
846,A,
847,A,
848,B,
849,A,
850,A,
851,B,Missing assignments
852,B,
853,B,Improved this term
854,A,
855,A,
856,D,
857,B,
858,F,
859,B,Missing assignments
860,D,
861,A,Improved this term
862,C,Strong effort
863,B,
864,D,
865,B,
866,B,
867,A,Improved this term
868,A,
869,B,Missing assignments
870,D,
871,D,Improved this term
872,F,
873,B,Missing assignments
874,D,
875,C,Improved this term
876,B,Strong effort
877,C,
878,B,Strong effort
879,B,
880,A,Improved this term
881,B,
882,C,
883,A,
884,A,Improved this term
885,A,
886,A,Strong effort
887,B,Missing assignments
888,C,Strong effort
889,B,Missing assignments
890,C,
891,A,Improved this term
892,B,
893,C,Improved this term
894,B,Missing assignments
895,A,
896,B,
897,B,Missing assignments
898,C,Strong effort
899,B,Strong effort
900,A,Strong effort
901,C,Missing assignments
902,B,
903,C,Missing assignments
904,B,Improved this term
905,A,Improved this term
906,A,
907,B,
908,B,Improved this term
909,D,
910,B,Strong effort
911,A,Strong effort
912,C,
913,B,Missing assignments
914,B,
915,A,Improved this term
916,A,Missing assignments
917,A,Strong effort
918,F,Strong effort
919,A,Missing assignments
920,B,Missing assignments
921,A,Improved this term
922,D,Improved this term
923,F,Missing assignments
924,A,
925,A,Strong effort
926,A,Improved this term
927,A,Improved this term
928,D,Strong effort
929,A,
930,D,Improved this term
931,B,Strong effort
932,B,
933,B,Missing assignments
934,D,Strong effort
935,B,Missing assignments
936,C,
937,C,Improved this term
938,A,
939,D,
940,F,Improved this term
941,D,Missing assignments
942,A,Strong effort
943,A,
944,A,
945,A,Strong effort
946,D,Strong effort
947,B,Improved this term
948,D,
949,C,Missing assignments
950,C,
951,A,
952,A,
953,A,Improved this term
954,B,Strong effort
955,C,Strong effort
956,B,
957,C,Improved this term
958,B,Improved this term
959,C,Missing assignments
960,C,Improved this term
961,B,
962,A,
963,B,
964,A,
965,A,
966,A,
967,C,Improved this term
968,B,Missing assignments
969,A,
970,B,Improved this term
971,C,Missing assignments
972,A,Missing assignments
973,A,Strong effort
974,C,Strong effort
975,C,Strong effort
976,D,Missing assignments
977,B,
978,C,
979,B,
980,B,
981,B,Missing assignments
982,C,
983,A,
984,B,Missing assignments
985,B,Missing assignments
986,B,Missing assignments
987,B,Strong effort
988,B,Strong effort
989,B,
990,D,Strong effort
991,B,
992,C,Missing assignments
993,B,Missing assignments
994,C,
995,B,Strong effort
996,B,
997,B,
998,A,
999,B,Improved this term
1000,B,Improved this term
1001,C,Missing assignments
1002,C,Missing assignments
1003,C,Missing assignments
1004,C,Improved this term
1005,A,Strong effort
1006,C,Improved this term
1007,C,
1008,B,
1009,A,Missing assignments
1010,A,Strong effort
1011,C,
1012,B,
1013,C,
1014,A,
1015,C,Strong effort
1016,A,Missing assignments
1017,B,
1018,C,
1019,B,Missing assignments
1020,A,
1021,A,
1022,A,Missing assignments
1023,F,Strong effort
1024,D,Strong effort
1025,A,Strong effort
1026,C,
1027,D,
1028,A,
1029,B,Improved this term
1030,A,
1031,B,Improved this term
1032,A,Improved this term
1033,C,
1034,F,Strong effort
1035,B,Strong effort
1036,C,Missing assignments
1037,B,
1038,B,Strong effort
1039,A,Missing assignments
1040,A,
1041,A,Missing assignments
1042,B,Improved this term
1043,A,Improved this term
1044,B,
1045,C,Improved this term
1046,A,
1047,B,Improved this term
1048,A,
1049,C,Improved this term
1050,B,Improved this term
1051,C,Improved this term
1052,B,Strong effort
1053,C,
1054,B,Improved this term
1055,A,Missing assignments
1056,A,
1057,B,
1058,B,Missing assignments
1059,B,
1060,C,Missing assignments
1061,A,
1062,A,Improved this term
1063,B,
1064,A,
1065,B,
1066,A,
1067,C,
1068,C,Improved this term
1069,B,
1070,B,
1071,B,
1072,C,
1073,A,Improved this term
1074,B,Strong effort
1075,F,
1076,B,Improved this term
1077,B,
1078,D,
1079,D,
1080,B,
1081,C,
1082,F,Improved this term
1083,F,Strong effort
1084,C,Strong effort
1085,C,
1086,C,Strong effort
1087,B,
1088,A,Missing assignments
1089,A,
1090,A,Missing assignments
1091,C,
1092,C,
1093,B,Improved this term
1094,C,Missing assignments
1095,A,Improved this term
1096,C,
1097,C,Strong effort
1098,A,
1099,B,
1100,C,Missing assignments
1101,D,
1102,A,Strong effort
1103,A,Missing assignments
1104,B,
1105,C,
1106,B,Improved this term
1107,D,Missing assignments
1108,B,Improved this term
1109,B,
1110,B,
1111,A,
1112,B,Missing assignments
1113,B,Improved this term
1114,C,
1115,B,
1116,B,
1117,C,Improved this term
1118,B,Improved this term
1119,B,Improved this term
1120,A,
1121,B,Improved this term
1122,C,Improved this term
1123,A,Strong effort
1124,A,
1125,B,Improved this term
1126,B,Strong effort
1127,A,
1128,A,Improved this term
1129,A,
1130,A,
1131,F,
1132,C,
1133,C,Improved this term
1134,C,Missing assignments
1135,C,
1136,C,Missing assignments
1137,A,Missing assignments
1138,D,
1139,A,
1140,B,
1141,B,
1142,B,Missing assignments
1143,B,Strong effort
1144,C,
1145,C,
1146,C,
1147,C,Missing assignments
1148,A,Missing assignments
1149,C,
1150,A,Missing assignments
1151,F,Improved this term
1152,A,
1153,A,
1154,B,Strong effort
1155,C,
1156,A,Improved this term
1157,C,Improved this term
1158,F,
1159,A,Missing assignments
1160,B,Improved this term
1161,A,
1162,A,Missing assignments
1163,A,
1164,A,Improved this term
1165,A,
1166,A,Missing assignments
1167,B,Strong effort
1168,D,Improved this term
1169,A,Improved this term
1170,D,
1171,A,
1172,A,
1173,A,
1174,C,
1175,B,
1176,C,Missing assignments
1177,D,Missing assignments
1178,A,
1179,C,Improved this term
1180,C,Missing assignments
1181,C,Improved this term
1182,C,Improved this term
1183,C,Missing assignments
1184,C,
1185,C,
1186,B,
1187,B,Missing assignments
1188,A,Improved this term
1189,B,Strong effort
1190,C,Strong effort
1191,A,Strong effort
1192,B,Strong effort
1193,B,
1194,A,
1195,A,Strong effort
1196,F,Improved this term
1197,A,Improved this term
1198,A,Improved this term
1199,A,Improved this term
1200,A,Missing assignments
1201,B,Strong effort
1202,F,Improved this term
1203,B,Missing assignments
1204,B,Improved this term
1205,A,Improved this term
1206,C,Strong effort
1207,C,Missing assignments
1208,A,Strong effort
1209,F,Strong effort
1210,C,Missing assignments
1211,C,Missing assignments
1212,A,Missing assignments
1213,A,
1214,C,
1215,C,Improved this term
1216,B,Improved this term
1217,B,
1218,C,Missing assignments
1219,A,Improved this term
1220,A,
1221,C,Missing assignments
1222,A,
1223,C,
1224,C,Improved this term
1225,A,Improved this term
1226,B,Missing assignments
1227,B,Missing assignments
1228,C,
1229,C,Missing assignments
1230,C,Improved this term
1231,C,Missing assignments
1232,A,
1233,B,Improved this term
1234,B,Missing assignments
1235,B,
1236,A,Improved this term
1237,C,Improved this term
1238,D,Missing assignments
1239,C,
1240,C,
1241,B,
1242,B,Strong effort
1243,B,
1244,B,Improved this term
1245,C,
1246,B,
1247,B,
1248,A,
1249,A,Strong effort
1250,A,
1251,B,
1252,A,Missing assignments
1253,C,
1254,C,
1255,B,Strong effort
1256,B,
1257,B,
1258,B,
1259,A,Improved this term
1260,C,Missing assignments
1261,B,Missing assignments
1262,B,Improved this term
1263,A,
1264,B,
1265,A,Improved this term
1266,A,Improved this term
1267,B,
1268,B,
1269,B,
1270,C,Improved this term
1271,B,Improved this term
1272,D,
1273,A,Improved this term
1274,B,Strong effort
1275,B,Improved this term
1276,C,Missing assignments
1277,C,Improved this term
1278,A,
1279,C,Strong effort
1280,A,Strong effort
1281,B,
1282,B,
1283,C,Missing assignments
1284,A,Strong effort
1285,B,Missing assignments
1286,C,
1287,B,Improved this term
1288,B,
1289,B,
1290,A,Missing assignments
1291,C,Improved this term
1292,A,Missing assignments
1293,D,
1294,A,Missing assignments
1295,B,Strong effort
1296,D,
1297,D,
1298,B,
1299,C,
1300,B,
1301,D,Strong effort
1302,A,Improved this term
1303,B,Strong effort
1304,A,Improved this term
1305,A,
1306,B,
1307,D,
1308,A,
1309,C,
1310,D,Missing assignments
1311,C,Improved this term
1312,C,
1313,A,
1314,B,Strong effort
1315,A,Improved this term
1316,C,Missing assignments
1317,B,Strong effort
1318,B,Missing assignments
1319,B,
1320,B,Improved this term
1321,C,Improved this term
1322,B,Improved this term
1323,A,Missing assignments
1324,D,Strong effort
1325,A,
1326,C,
1327,B,Strong effort
1328,C,Strong effort
1329,B,Strong effort
1330,B,
1331,A,Strong effort
1332,B,
1333,C,Strong effort
1334,A,Missing assignments
1335,B,
1336,F,Improved this term
1337,D,Strong effort
1338,C,
1339,B,
1340,C,Improved this term
1341,A,
1342,A,
1343,A,Strong effort
1344,A,
1345,A,
1346,C,
1347,A,Strong effort
1348,B,Strong effort
1349,B,
1350,B,
1351,A,Missing assignments
1352,A,Improved this term
1353,A,Strong effort
1354,B,
1355,B,Missing assignments
1356,A,Strong effort
1357,B,Improved this term
1358,A,
1359,B,Improved this term
1360,D,Improved this term
1361,C,
1362,A,
1363,B,
1364,B,Missing assignments
1365,A,
1366,D,Improved this term
1367,D,Improved this term
1368,C,Strong effort
1369,C,Improved this term
1370,B,Missing assignments
1371,C,Missing assignments
1372,A,
1373,B,
1374,B,
1375,A,Strong effort
1376,D,Missing assignments
1377,B,
1378,B,Missing assignments
1379,A,
1380,A,Missing assignments
1381,B,Missing assignments
1382,C,
1383,A,Strong effort
1384,C,Strong effort
1385,A,
1386,A,Missing assignments
1387,B,
1388,A,Improved this term
1389,B,Improved this term
1390,B,
1391,B,
1392,A,
1393,B,Missing assignments
1394,B,
1395,C,
1396,B,
1397,B,
1398,F,Missing assignments
1399,C,
1400,B,Strong effort
1401,C,
1402,B,
1403,D,Improved this term
1404,B,Missing assignments
1405,A,Missing assignments
1406,A,Improved this term
1407,A,
1408,B,
1409,C,Improved this term
1410,B,Improved this term
1411,C,
1412,D,
1413,B,
1414,B,
1415,D,Strong effort
1416,B,
1417,A,
1418,B,Missing assignments
1419,C,
1420,C,Missing assignments
1421,C,Improved this term
1422,A,Missing assignments
1423,B,
1424,B,
1425,C,
1426,C,
1427,B,Improved this term
1428,A,Missing assignments
1429,C,Improved this term
1430,B,Strong effort
1431,A,Strong effort
1432,B,Strong effort
1433,F,
1434,C,Improved this term
1435,B,
1436,B,
1437,F,Improved this term
1438,C,Strong effort
1439,C,Missing assignments
1440,F,Missing assignments
1441,C,Improved this term
1442,B,Strong effort
1443,D,Missing assignments
1444,A,Missing assignments
1445,B,
1446,B,
1447,C,Missing assignments
1448,B,Missing assignments
1449,A,Improved this term
1450,B,Missing assignments
1451,C,Missing assignments
1452,B,Improved this term
1453,B,
1454,A,
1455,B,Missing assignments
1456,C,
1457,A,Strong effort
1458,B,Strong effort
1459,B,Missing assignments
1460,A,Strong effort
1461,A,Missing assignments
1462,C,
1463,C,
1464,C,
1465,A,Strong effort
1466,B,
1467,D,Improved this term
1468,A,
1469,D,Strong effort
1470,C,Improved this term
1471,C,Improved this term
1472,A,Improved this term
1473,B,Missing assignments
1474,A,Missing assignments
1475,C,Improved this term
1476,D,Strong effort
1477,A,
1478,C,Improved this term
1479,D,Missing assignments
1480,B,Strong effort
1481,A,
1482,C,Strong effort
1483,B,
1484,A,
1485,C,Strong effort
1486,C,Missing assignments
1487,A,
1488,A,Improved this term
1489,D,
1490,B,Improved this term
1491,B,Improved this term
1492,A,
1493,A,Strong effort
1494,A,
1495,B,
1496,B,
1497,B,Improved this term
1498,B,Missing assignments
1499,B,Missing assignments
1500,B,Missing assignments
1501,D,Missing assignments
1502,C,
1503,F,
1504,C,
1505,D,
1506,C,
1507,A,Missing assignments
1508,C,Strong effort
1509,B,Missing assignments
1510,B,Strong effort
1511,B,
1512,C,
1513,B,Missing assignments
1514,C,
1515,B,
1516,B,Strong effort
1517,C,
1518,A,
1519,D,Improved this term
1520,B,Improved this term
1521,A,Improved this term
1522,C,Missing assignments
1523,C,
1524,D,
1525,C,Strong effort
1526,A,
1527,B,Strong effort
1528,C,Strong effort
1529,B,Improved this term
1530,B,
1531,A,Strong effort
1532,C,Improved this term
1533,B,Strong effort
1534,B,Missing assignments
1535,A,
1536,A,Improved this term
1537,D,
1538,A,Improved this term
1539,A,Strong effort
1540,B,
1541,B,
1542,B,
1543,C,Strong effort
1544,C,
1545,A,Missing assignments
1546,B,
1547,C,Strong effort
1548,A,Strong effort
1549,A,
1550,C,Strong effort
1551,D,Missing assignments
1552,A,Strong effort
1553,A,Improved this term
1554,B,Strong effort
1555,C,Improved this term
1556,B,Strong effort
1557,C,Strong effort
1558,D,Improved this term
1559,F,Improved this term
1560,F,
1561,B,Strong effort
1562,C,
1563,A,Missing assignments
1564,C,Improved this term
1565,A,
1566,C,
1567,B,Missing assignments
1568,D,
1569,C,Strong effort
1570,B,Improved this term
1571,B,Improved this term
1572,A,Strong effort
1573,C,
1574,C,Missing assignments
1575,B,Missing assignments
1576,B,Missing assignments
1577,B,
1578,C,
1579,B,
1580,A,Strong effort
1581,D,
1582,C,
1583,B,Improved this term
1584,C,
1585,A,Missing assignments
1586,B,Missing assignments
1587,A,Missing assignments
1588,B,
1589,A,Improved this term
1590,B,
1591,D,
1592,C,Strong effort
1593,B,Missing assignments
1594,C,Missing assignments
1595,D,
1596,A,Strong effort
1597,D,
1598,D,
1599,C,
1600,C,
1601,A,
1602,C,Improved this term
1603,A,Missing assignments
1604,A,Strong effort
1605,F,Improved this term
1606,B,Strong effort
1607,F,Improved this term
1608,C,Missing assignments
1609,D,Improved this term
1610,C,Missing assignments
1611,B,Improved this term
1612,B,
1613,A,
1614,C,Improved this term
1615,B,Strong effort
1616,A,Improved this term
1617,D,
1618,A,Missing assignments
1619,B,Missing assignments
1620,D,Strong effort
1621,C,
1622,F,
1623,C,Strong effort
1624,B,
1625,C,Missing assignments
1626,D,Improved this term
1627,C,
1628,C,Strong effort
1629,C,Improved this term
1630,B,Missing assignments
1631,A,Strong effort
1632,B,
1633,C,Improved this term
1634,D,
1635,A,Improved this term
1636,D,Improved this term
1637,C,
1638,C,
